Wall time,Step,Value
1716223168.9473014,1200,-29.701053619384766
1716223252.395958,2400,-26.01264762878418
1716223308.3588686,3200,-27.23508071899414
1716223363.2444022,3800,-25.064424514770508
1716223446.14547,5000,-26.32602882385254
1716223626.4519475,7400,-25.756059646606445
1716223682.0837421,8200,-26.515518188476562
1716223709.6991699,8600,-29.503469467163086
1716223737.9377,9000,-29.826038360595703
1716223751.86859,9200,-27.054061889648438
1716223779.7421296,9600,-24.893512725830078
1716223875.4549308,10800,-29.627458572387695
1716223889.1426191,11000,-27.516202926635742
1716223902.98055,11200,-28.3903751373291
1716223916.879286,11400,-26.814285278320312
1716224055.1667037,13200,-28.602476119995117
1716224097.068,13800,-29.04033660888672
1716224138.9686253,14400,-27.52079200744629
1716224152.8203585,14600,-25.570945739746094
1716224166.6311536,14800,-30.426721572875977
1716224180.6795232,15000,-29.0902156829834
1716224250.5050833,16000,-28.617870330810547
1716224374.243333,17600,-29.1732120513916
1716224471.5588944,19000,-26.95098304748535
1716224595.038589,20600,-29.32393455505371
1716224637.4197178,21200,-26.38717269897461
1716224651.5157812,21400,-29.65126609802246
1716224761.7375317,22800,-28.20148468017578
1716224831.5881813,23800,-29.579792022705078
1716224943.4198754,25400,-26.777252197265625
1716224997.97506,26000,-28.518829345703125
1716225012.0355601,26200,-27.577674865722656
1716225138.3888469,28000,-29.3649959564209
1716225166.2608263,28400,-28.33106231689453
1716225180.1912603,28600,-30.956218719482422
1716225194.2616718,28800,-30.80353355407715
1716225305.4320576,30200,-27.987184524536133
1716225375.6685507,31200,-29.158464431762695
1716225403.8450747,31600,-25.617494583129883
1716225418.0965784,31800,-31.10854148864746
1716225486.4574323,32600,-28.04874610900879
1716225556.8377283,33600,-28.490768432617188
1716225571.096463,33800,-29.111412048339844
1716225612.75125,34400,-31.04581069946289
1716225709.0226243,35600,-30.086389541625977
1716225722.8459618,35800,-27.225008010864258
1716225750.902533,36200,-30.448640823364258
1716225793.1478002,36800,-31.819122314453125
1716225821.2382054,37200,-27.10305404663086
1716225835.3548987,37400,-27.85110092163086
1716225862.8799222,37800,-30.835596084594727
1716225891.120723,38200,-30.405412673950195
1716225904.9909241,38400,-29.594472885131836
1716226015.2666037,39800,-33.07605743408203
1716226127.2516568,41400,-29.981998443603516
1716226141.1151917,41600,-29.48134994506836
1716226167.7899828,41800,-28.38144302368164
1716226223.7439468,42600,-27.667503356933594
1716226363.9021378,44600,-30.41908073425293
1716226377.86483,44800,-31.84625244140625
1716226418.4193914,45200,-31.28853416442871
1716226473.9235678,46000,-31.717430114746094
1716226515.545688,46600,-30.312530517578125
1716226529.9324367,46800,-29.552696228027344
1716226543.7833755,47000,-29.837913513183594
1716226586.1714573,47600,-32.704017639160156
1716226766.070968,50000,-27.90235137939453
1716226849.6433396,51200,-31.575428009033203
1716226904.1470857,51800,-31.4962215423584
1716226931.8515906,52200,-28.205570220947266
1716226945.9462588,52400,-31.035358428955078
1716226974.2139673,52800,-31.86362075805664
1716227030.0033078,53600,-30.85049819946289
1716227086.2553613,54400,-28.5893611907959
1716227126.6518075,54800,-29.08000373840332
1716227196.4189146,55800,-30.182388305664062
1716227405.4044151,58600,-25.637672424316406
1716227475.1835861,59600,-29.896163940429688
1716227489.1443374,59800,-27.784360885620117
1716227545.1875713,60600,-29.45204734802246
1716227559.1951947,60800,-28.432537078857422
1716227627.4626813,61600,-29.837783813476562
1716227641.568311,61800,-29.960575103759766
1716227669.3917222,62200,-29.066377639770508
1716227711.2838976,62800,-28.091886520385742
1716227780.9140062,63800,-32.20671081542969
1716227794.7285504,64000,-31.88605499267578
1716227808.5497754,64200,-30.631805419921875
1716227891.1931548,65200,-34.829898834228516
1716227904.9692118,65400,-32.019187927246094
1716227919.0866554,65600,-33.40885543823242
1716227961.2427769,66200,-31.003742218017578
1716228099.4038174,68000,-30.938596725463867
1716228127.3484821,68400,-33.608158111572266
1716228211.1195657,69600,-29.81131935119629
1716228406.3425395,72200,-31.81696319580078
1716228447.96507,72800,-33.05104446411133
1716228503.975318,73600,-29.67908477783203
1716228572.5864186,74400,-29.292688369750977
1716228600.613129,74800,-31.70606803894043
1716228656.6233747,75600,-31.130895614624023
1716228670.7720828,75800,-29.39959716796875
1716228684.958425,76000,-31.940771102905273
1716228712.902908,76400,-29.836626052856445
1716228795.6809905,77400,-29.704374313354492
1716228865.541636,78400,-31.896486282348633
1716228879.5771928,78600,-29.986896514892578
1716229116.931039,81800,-30.290348052978516
1716229215.0567045,83200,-31.33144760131836
1716229310.9729,84400,-28.213951110839844
1716229325.0984535,84600,-31.929540634155273
1716229353.1191995,85000,-32.7801399230957
1716229437.84523,86200,-29.8386287689209
1716229575.5643892,88000,-28.788610458374023
1716229603.3638425,88400,-28.96445083618164
1716229617.2179966,88600,-32.02130126953125
1716229659.1398222,89200,-30.167360305786133
1716229756.239357,90400,-28.92961883544922
1716229867.7694206,92000,-31.352468490600586
1716229881.907065,92200,-31.7778377532959
1716229924.099697,92800,-31.557632446289062
1716229938.191,93000,-33.95685577392578
1716230076.385702,94800,-31.47557258605957
1716230090.289375,95000,-31.52265167236328
1716230256.9379935,97200,-31.278949737548828
1716230298.815218,97800,-32.70431137084961
1716230313.0839534,98000,-29.601865768432617
1716230341.075954,98400,-31.00489044189453
1716230368.903404,98800,-30.274089813232422
1716230799.662285,101600,-31.14679718017578
1716230869.47271,102600,-30.264509201049805
1716230910.4063864,103000,-31.486038208007812
1716230952.3433673,103600,-31.435626983642578
1716231049.8652914,105000,-31.549715042114258
1716231063.6778135,105200,-32.43137741088867
1716231160.5427873,106400,-30.33796501159668
1716231188.4094572,106800,-31.66236114501953
1716231202.4401624,107000,-30.044511795043945
1716231230.5828362,107400,-30.87843132019043
1716231244.455474,107600,-32.46596145629883
1716231286.5842416,108200,-26.80438804626465
1716231314.9171357,108600,-32.48985290527344
1716231397.4300346,109600,-30.8109188079834
1716231411.3146966,109800,-30.283100128173828
1716231537.0948954,111600,-30.462604522705078
1716231564.9181817,112000,-32.106239318847656
1716231634.0499694,112800,-31.34031105041504
1716231647.8877058,113000,-31.215755462646484
1716231717.9089117,114000,-31.654972076416016
1716231773.812749,114800,-31.2930965423584
1716231787.7993295,115000,-31.876298904418945
1716231829.8295157,115600,-31.412578582763672
1716231870.28797,116000,-32.194923400878906
1716231898.3154626,116400,-32.582359313964844
1716231912.0606492,116600,-30.361957550048828
1716231926.081799,116800,-33.5196647644043
1716231940.0152707,117000,-30.806921005249023
1716231968.2067719,117400,-31.305788040161133
1716231982.1220634,117600,-30.279251098632812
1716232052.7162397,118600,-30.62891387939453
1716232066.9116347,118800,-32.35908126831055
1716232177.4019494,120200,-33.2861213684082
1716232205.5510595,120600,-33.27485656738281
1716232288.8612266,121800,-30.324138641357422
1716232329.8266737,122200,-31.903793334960938
1716232399.3976827,123200,-33.88169479370117
1716232469.7835958,124200,-29.59825897216797
1716232497.6719196,124600,-32.247962951660156
1716232678.054532,127000,-31.917095184326172
1716232776.3509064,128400,-30.213722229003906
1716232803.1274703,128600,-30.438213348388672
1716232830.6518686,129000,-29.934677124023438
1716232844.7758188,129200,-32.93173599243164
1716232858.8160028,129400,-32.05718231201172
1716232872.662519,129600,-30.808015823364258
1716232900.7098749,130000,-32.017704010009766
1716232942.9233317,130600,-31.58521842956543
1716232999.1473477,131400,-31.7235107421875
1716233081.255043,132400,-32.02648162841797
1716233123.4763877,133000,-30.82704734802246
1716233179.2768764,133800,-33.16636276245117
1716233221.8577101,134400,-31.217052459716797
1716233235.9647436,134600,-29.08259391784668
1716233276.32797,135000,-33.68447494506836
1716233290.1187148,135200,-28.581119537353516
1716233317.8385797,135600,-31.314136505126953
1716233331.744645,135800,-30.434059143066406
1716233345.6891153,136000,-31.743894577026367
1716233387.3807356,136600,-31.475255966186523
1716233401.5341842,136800,-30.36264419555664
1716233443.8516517,137400,-32.904483795166016
1716233471.7954848,137800,-29.618003845214844
1716233485.7112653,138000,-32.019981384277344
1716233595.6964073,139400,-30.968961715698242
1716233637.693564,140000,-29.68375587463379
1716233693.3190525,140800,-34.379859924316406
1716233735.4232948,141400,-30.81417465209961
1716233776.1744666,141800,-31.763498306274414
1716233804.427167,142200,-34.35157012939453
1716233860.332292,143000,-30.02057647705078
1716233916.2410536,143800,-30.86675453186035
1716233957.9741724,144400,-31.688003540039062
1716233971.7754145,144600,-32.09876251220703
1716233998.088385,144800,-32.37041473388672
1716234012.0068932,145000,-31.79482650756836
1716234095.1786587,146200,-32.145748138427734
1716234179.0550177,147400,-34.87202453613281
1716234207.3467274,147800,-29.217517852783203
1716234233.9348521,148000,-32.00612258911133
1716234290.0420833,148800,-29.057653427124023
1716234331.7862277,149400,-31.587635040283203
1716234346.0724251,149600,-29.924882888793945
1716234388.1728678,150200,-31.455045700073242
1716234402.1188495,150400,-31.396709442138672
1716234415.8911383,150600,-30.795942306518555
1716234443.723637,151000,-32.302310943603516
1716234484.2385619,151400,-33.50642395019531
1716234568.1844237,152600,-33.10343551635742
1716234610.7466438,153200,-30.696544647216797
1716234624.6832428,153400,-29.922517776489258
1716234666.386324,154000,-34.85730743408203
1716234680.6628902,154200,-32.48677444458008
1716234707.435663,154400,-30.967153549194336
1716234735.4010694,154800,-30.024770736694336
1716234749.5382695,155000,-29.713722229003906
1716234832.829247,156200,-32.19768142700195
1716234889.1462653,157000,-29.21430778503418
1716234903.2920296,157200,-30.9838924407959
1716234944.2807133,157600,-31.2403621673584
1716234971.9287043,158000,-29.29987144470215
1716235000.1151347,158400,-32.16640853881836
1716235014.1472695,158600,-30.615821838378906
1716235027.9730036,158800,-32.85163116455078
1716235041.7962232,159000,-31.692750930786133
1716235055.8147318,159200,-35.01307678222656
1716235097.9092894,159800,-29.50864028930664
1716235154.4115107,160600,-30.851797103881836
1716235208.8634028,161200,-30.4780216217041
1716235236.9861245,161600,-30.290163040161133
1716235250.9250152,161800,-28.9416561126709
1716235264.903379,162000,-28.842117309570312
1716235348.587541,163200,-32.46952819824219
1716235362.3453696,163400,-30.955827713012695
1716235390.8882887,163800,-29.262704849243164
1716235445.1357348,164400,-30.749849319458008
1716235501.0156229,165200,-31.179645538330078
1716235542.764385,165800,-32.86716079711914
1716235584.6131577,166400,-32.38829803466797
1716235598.5604355,166600,-33.3683967590332
1716235626.4481091,167000,-30.15432357788086
1716235667.1969855,167400,-32.34842300415039
1716235695.483407,167800,-32.795448303222656
1716235765.6876721,168800,-30.001710891723633
1716235808.2965293,169400,-30.968704223632812
1716235836.0115402,169800,-33.53231430053711
1716236127.659059,173600,-28.260236740112305
1716236155.404511,174000,-32.09016036987305
1716236169.2840912,174200,-29.740095138549805
1716236224.934144,175000,-29.577476501464844
1716236253.355525,175400,-33.701560974121094
1716236308.9496229,176200,-31.42096710205078
1716236337.1350443,176600,-32.84885025024414
1716236377.5708373,177000,-32.691810607910156
1716236419.5781264,177600,-30.486530303955078
1716236447.7021036,178000,-31.204557418823242
1716236461.9478235,178200,-31.469573974609375
1716236489.9565713,178600,-32.87765121459961
1716236546.0356565,179400,-31.436725616455078
1716236614.6253333,180200,-32.11691665649414
1716236712.3912933,181600,-31.78298568725586
1716236726.6315017,181800,-29.598318099975586
1716236740.548272,182000,-33.24417495727539
1716236754.5524688,182200,-33.46255874633789
1716236782.51353,182600,-32.528839111328125
1716236837.99256,183200,-31.624727249145508
1716236851.8611977,183400,-30.807376861572266
1716236866.1086814,183600,-32.83596420288086
1716236907.7413027,184200,-31.569921493530273
1716236921.6093414,184400,-30.79303550720215
1716236935.5778515,184600,-32.73646926879883
1716236949.6373758,184800,-32.648895263671875
1716237061.984733,186400,-31.535480499267578
1716237089.075869,186600,-31.842212677001953
1716237130.5009387,187200,-31.221574783325195
1716237228.7916133,188600,-32.23067092895508
1716237270.6171858,189200,-30.406658172607422
1716237395.0641358,190800,-30.920228958129883
1716237409.1360419,191000,-30.853923797607422
1716237436.9382153,191400,-32.19158172607422
1716237451.1312656,191600,-30.71502113342285
1716237465.1374252,191800,-32.429405212402344
1716237507.6667674,192400,-32.0880241394043
1716237521.85851,192600,-32.5917854309082
1716237562.547712,193000,-33.243896484375
1716237590.2310643,193400,-31.874406814575195
1716237660.6308758,194400,-31.361656188964844
1716237674.574561,194600,-32.786468505859375
1716237730.399851,195400,-33.045997619628906
1716237744.3406801,195600,-31.26499366760254
1716237758.5054154,195800,-31.68610954284668
1716237772.505428,196000,-29.940654754638672
1716237827.2081077,196600,-32.941402435302734
1716237841.222298,196800,-30.886093139648438
1716237855.2882912,197000,-30.298139572143555
1716237897.22318,197600,-31.068607330322266
1716237911.1579115,197800,-32.508880615234375
1716238036.1121156,199400,-29.547277450561523
1716238313.6753898,200200,-31.736055374145508
1716238341.8267853,200600,-32.53573226928711
1716238369.9499106,201000,-28.982454299926758
1716238384.0751247,201200,-30.816556930541992
1716238426.4320378,201800,-31.141368865966797
1716238495.4733026,202600,-31.403474807739258
1716238509.906069,202800,-30.156293869018555
1716238524.0148985,203000,-30.125577926635742
1716238565.9827857,203600,-30.563404083251953
1716238678.0778844,205200,-30.95525550842285
1716238705.7870593,205600,-29.719942092895508
1716238774.436331,206400,-29.766151428222656
1716238788.3927813,206600,-31.494277954101562
1716238830.1617842,207200,-30.687347412109375
1716238857.9679806,207600,-32.84992218017578
1716238885.923771,208000,-31.54877281188965
1716238968.9574432,209000,-29.181739807128906
1716239067.1025846,210400,-30.00284194946289
1716239081.00051,210600,-31.11465835571289
1716239122.7939017,211200,-31.43573570251465
1716239150.972315,211600,-29.594627380371094
1716239248.0482395,212800,-29.84030532836914
1716239261.8737118,213000,-32.86533737182617
1716239289.918992,213400,-29.849754333496094
1716239317.7799332,213800,-30.519792556762695
1716239373.6582668,214600,-30.93072509765625
1716239443.119834,215400,-33.22087860107422
1716239471.3340614,215800,-32.11607360839844
1716239540.8791845,216800,-29.339412689208984
1716239555.0116484,217000,-32.435401916503906
1716239569.0518441,217200,-32.21234893798828
1716239679.382065,218600,-32.48763656616211
1716239693.102278,218800,-33.31864547729492
1716239776.9226024,220000,-32.26702117919922
1716239832.9818964,220800,-32.0490837097168
1716239846.8511324,221000,-32.92746353149414
1716239860.6992226,221200,-28.665346145629883
1716239998.8122993,223000,-34.669349670410156
1716240026.7385452,223400,-32.99838638305664
1716240068.8658974,224000,-33.868682861328125
1716240164.7316737,225200,-32.318603515625
1716240178.489558,225400,-29.73139190673828
1716240234.6584437,226200,-33.00552749633789
1716240276.7623098,226800,-34.07659912109375
1716240304.4320855,227200,-32.34820556640625
1716240512.5329857,230000,-31.08870506286621
1716240554.7606559,230600,-28.452173233032227
1716240596.531088,231200,-32.64897918701172
1716240610.3782728,231400,-34.49557876586914
1716240636.5812201,231600,-32.430999755859375
1716240678.5356529,232200,-32.34794235229492
1716240692.529932,232400,-31.74650001525879
1716240706.4827864,232600,-32.07143020629883
1716240971.5254889,236200,-33.1697998046875
1716240999.7791917,236600,-33.46134948730469
1716241013.7054577,236800,-32.88019943237305
1716241042.3031175,237200,-33.71931838989258
1716241056.531359,237400,-30.698524475097656
1716241152.424962,238600,-34.00337600708008
1716241166.3314462,238800,-32.22715377807617
1716241194.0766358,239200,-31.558109283447266
1716241222.3579113,239600,-30.161392211914062
1716241250.406091,240000,-34.07777786254883
1716241278.3181593,240400,-31.604089736938477
1716241320.7717,241000,-32.508544921875
1716241361.1512375,241400,-35.730064392089844
1716241388.963321,241800,-33.5301399230957
1716241416.8602574,242200,-33.003238677978516
1716241445.0029194,242600,-27.65938377380371
1716241472.902111,243000,-32.43040466308594
1716241625.514507,245000,-31.136754989624023
1716241681.5517719,245800,-30.617429733276367
1716241737.2736402,246600,-30.777114868164062
1716241751.3026712,246800,-33.120479583740234
1716241765.1917307,247000,-33.62471389770508
1716241793.127738,247400,-32.96426010131836
1716241848.3829033,248000,-30.698495864868164
1716241890.121409,248600,-32.55839157104492
1716241918.1746778,249000,-32.20661163330078
1716241960.0969079,249600,-31.62315559387207
1716242056.7992365,250800,-32.09981155395508
1716242084.6545887,251200,-35.530487060546875
1716242112.7123106,251600,-32.23579025268555
1716242126.6728957,251800,-33.04383850097656
1716242168.9458005,252400,-32.74351501464844
1716242182.854513,252600,-32.22216796875
1716242196.8217223,252800,-32.85612869262695
1716242238.6978827,253400,-33.16609573364258
1716242363.875913,255000,-33.919212341308594
1716242434.035195,256000,-31.767349243164062
1716242462.0755343,256400,-31.78477668762207
1716242558.6793652,257600,-32.13331985473633
1716242614.2331617,258400,-32.22019958496094
1716242627.971303,258600,-30.187734603881836
1716242641.7885659,258800,-32.753021240234375
1716242655.6839328,259000,-33.423622131347656
1716242738.868187,260200,-31.036483764648438
1716242793.7137914,260800,-32.38016128540039
1716242891.5819888,262200,-36.095218658447266
1716242919.4999163,262600,-32.38048553466797
1716242961.6882346,263200,-30.936071395874023
1716242975.6793876,263400,-33.11685562133789
1716243030.2822096,264000,-30.214780807495117
1716243114.4351416,265200,-30.963727951049805
1716243142.18633,265600,-33.23500061035156
1716243183.943511,266200,-30.829904556274414
1716243238.7216763,266800,-30.23173713684082
1716243252.8469453,267000,-32.31365203857422
1716243266.8194358,267200,-31.38778305053711
1716243280.7886627,267400,-30.596694946289062
1716243294.884115,267600,-31.92811393737793
1716243378.7275164,268800,-32.10593032836914
1716243475.7191658,270000,-31.03850555419922
1716243560.28263,271200,-32.28375244140625
1716243644.8698545,272400,-31.27809715270996
1716243728.6724913,273400,-33.52833938598633
1716243784.870836,274200,-32.10092544555664
1716243883.4191782,275600,-31.95995330810547
1716243911.510022,276000,-32.665748596191406
1716243965.884299,276600,-31.650440216064453
1716243993.7545953,277000,-31.342529296875
1716244007.7230272,277200,-33.31708526611328
1716244050.0002844,277800,-32.70329666137695
1716244063.9557884,278000,-31.073688507080078
1716244092.0416284,278400,-30.164661407470703
1716244106.0768447,278600,-35.02791976928711
1716244148.4930499,279200,-30.587894439697266
1716244399.983552,282600,-30.674575805664062
1716244414.1274405,282800,-31.181198120117188
1716244440.4529538,283000,-30.44725799560547
1716244510.0597138,284000,-31.928577423095703
1716244552.462354,284600,-33.275577545166016
1716244608.359579,285400,-32.63837814331055
1716244622.504286,285600,-30.21660614013672
1716244636.6152272,285800,-30.63313865661621
1716244705.4558232,286600,-31.78961944580078
1716244719.3378057,286800,-30.264629364013672
1716244733.2319603,287000,-29.116479873657227
1716244761.0712366,287400,-34.81230926513672
1716244816.8734376,288200,-31.369606018066406
1716244845.1986837,288600,-29.286357879638672
1716244969.9135427,290200,-30.576902389526367
1716245039.6219964,291200,-31.801685333251953
1716245053.362137,291400,-31.671630859375
1716245191.905201,293200,-30.855926513671875
1716245206.1089463,293400,-34.366981506347656
1716245360.0472476,295600,-30.046409606933594
1716245483.7917142,297200,-31.826913833618164
1716245497.7416692,297400,-33.21196365356445
1716245539.9639764,298000,-30.525596618652344
1716245567.9486449,298400,-31.28292465209961
1716245581.7848098,298600,-31.48202896118164
1716245928.0515907,300200,-33.52080154418945
1716245942.0742595,300400,-31.743120193481445
1716245955.8154142,300600,-30.85934066772461
1716245969.7713032,300800,-31.635066986083984
1716246011.6156547,301400,-32.26233673095703
1716246040.2055438,301800,-31.541481018066406
1716246054.1889265,302000,-33.827392578125
1716246080.4863849,302200,-34.01671600341797
1716246192.1993327,303800,-32.95533752441406
1716246262.261531,304800,-32.20056915283203
1716246276.1922693,305000,-30.847110748291016
1716246330.6620505,305600,-32.370140075683594
1716246428.2127008,307000,-31.772022247314453
1716246456.7935555,307400,-33.37063980102539
1716246609.5001686,309400,-31.471187591552734
1716246679.5548308,310400,-29.982440948486328
1716246693.643104,310600,-34.48884582519531
1716246721.672752,311000,-32.92402267456055
1716246735.8173215,311200,-34.21550750732422
1716246832.4341586,312400,-32.00276565551758
1716246930.6252902,313800,-30.691761016845703
1716246944.413812,314000,-32.819725036621094
1716247083.5514922,315800,-30.306262969970703
1716247139.429854,316600,-34.68219757080078
1716247167.1853426,317000,-31.81216812133789
1716247223.278988,317800,-33.657047271728516
1716247361.7662718,319600,-30.160634994506836
1716247389.4209797,320000,-30.54031753540039
1716247431.2214518,320600,-31.120548248291016
1716247459.3665876,321000,-31.879474639892578
1716247473.1595008,321200,-33.05635452270508
1716247556.3348327,322200,-29.8973331451416
1716247598.1783535,322800,-31.04627799987793
1716247667.9500482,323800,-32.13143539428711
1716247695.8948085,324200,-30.484386444091797
1716247792.2283452,325400,-30.759166717529297
1716247806.481616,325600,-32.61890411376953
1716247820.2991507,325800,-31.659080505371094
1716247875.7576787,326600,-31.7442684173584
1716247946.197664,327600,-34.23080825805664
1716248000.951323,328200,-32.8065071105957
1716248028.8082144,328600,-30.69734764099121
